COG count
COG0188 499
COG0708 108
COG2065 32
COG1327 44
COG0480 335
COG4581 98
COG0191 89
COG4603 23
COG1053 224
COG0653 327
COG0155 92
COG0016 124
COG4531 19
COG0467 72
COG0001 121
COG0103 66
COG1364 119
COG0451 619
COG1960 427
COG1137 86
COG1653 70
COG1087 99
COG0539 193
COG0408 122
COG0036 90
COG0216 119
COG0697 81
COG0532 238
COG1492 84
COG3791 28
COG0102 47
COG1674 89
COG0320 210
COG0304 200
COG0592 113
COG0442 196
COG0209 400
COG1372 6
COG0069 591
COG0476 75
COG2936 44
COG0413 102
COG0113 125
COG0520 198
COG0302 48
COG0495 313
COG0275 86
COG0332 95
COG4215 8
COG3588 107
COG0723 53
COG0458 423
COG1228 28
COG0550 279
COG0133 163
COG0607 23
COG2957 16
COG0197 71
COG0382 113
COG0050 188
COG3088 8
COG2873 181
COG0094 64
COG0055 201
COG1048 131
COG0296 135
COG0126 182
COG0205 38
COG0436 302
COG0577 54
COG1028 679
COG0682 57
COG0525 322
COG0034 196
COG0769 149
COG2759 69
COG4178 74
COG0187 355
COG0488 186
COG0020 68
COG0559 65
COG0006 190
COG0198 46
COG0114 158
COG1298 19
COG0626 188
COG0596 328
COG0037 68
COG0223 85
COG0146 75
COG5257 6
COG3653 16
COG0677 58
COG5598 6
COG1043 77
COG3119 127
COG0621 294
COG4121 33
COG0744 78
COG2274 70
COG1239 156
COG1781 2
COG3349 194
COG0111 199
COG1049 236
COG0167 135
COG2220 84
COG2208 59
COG0021 240
COG1178 104
COG1014 6
COG0686 43
COG1523 89
COG1472 83
COG0462 104
COG0766 147
COG1429 425
COG0265 196
COG1197 192
COG0115 145
COG0774 73
COG0523 221
COG0472 114
COG0331 88
COG5000 17
COG1235 30
COG0772 159
COG1641 27
COG0702 105
COG1186 127
COG0308 116
COG2303 210
COG0224 110
COG1154 241
COG0148 178
COG0426 144
COG0841 134
COG5036 0
COG0486 131
COG4631 41
COG0713 34
COG2192 98
