NC_genome COG Start End Ui
NC_011312 COG0716 312 746 7
NC_011312 COG0486 811 2178 13
NC_011312 COG0706 2277 3902 17
NC_011312 COG0594 4129 4482 4
NC_011312 COG1126 4820 5557 7
NC_011312 COG0765 5554 6225 6
NC_011312 COG0834 6380 7132 9
NC_011312 COG0593 7427 8833 17
NC_011312 COG0592 8866 9975 10
NC_011312 COG1195 9989 11068 13
NC_011312 COG0187 11086 13503 25
NC_011312 COG3436 16295 16642 3
NC_011312 COG0459 17172 18809 15
NC_011312 COG0234 18902 19189 1
NC_011312 COG4227 22530 23489 10
NC_011312 COG1237 25189 26034 8
NC_011312 COG1437 26437 26988 2
NC_011312 COG5464 30807 31769 10
NC_011312 COG3409 33193 35412 27
NC_011312 COG5464 41289 42239 5
NC_011312 COG0606 44867 46393 19
NC_011312 COG0204 46481 47350 4
NC_011312 COG1651 47417 48040 9
NC_011312 COG2334 48066 49049 15
NC_011312 COG0348 49108 50526 16
NC_011312 COG3084 50752 51015 1
NC_011312 COG4326 51533 52318 11
NC_011312 COG1272 52420 53067 4
NC_011312 COG1278 54711 54920 0
NC_011312 COG1171 55198 56730 17
NC_011312 COG0129 56735 58207 19
NC_011312 COG3978 58234 58482 4
NC_011312 COG1192 62442 63239 9
NC_011312 COG1475 63236 64210 16
NC_011312 COG3436 69062 69418 4
NC_011312 COG3436 72716 73063 4
NC_011312 COG0569 74902 76278 13
NC_011312 COG0144 76303 77637 15
NC_011312 COG0223 77686 78651 4
NC_011312 COG0242 78654 79163 6
NC_011312 COG1652 79281 80342 8
NC_011312 COG0758 80351 81460 14
NC_011312 COG2922 81463 81936 2
NC_011312 COG0551 81946 82515 4
NC_011312 COG0026 82555 83673 12
NC_011312 COG0041 83673 84209 4
NC_011312 COG0009 84360 84917 8
NC_011312 COG0169 84984 85805 9
NC_011312 COG0663 86057 86602 4
NC_011312 COG0583 114812 115696 13
NC_011312 COG0059 115825 117309 12
NC_011312 COG2960 117397 117648 1
NC_011312 COG0841 117758 120826 40
NC_011312 COG0845 120838 121944 8
NC_011312 COG1309 121963 122562 2
NC_011312 COG0210 122717 124732 23
NC_011312 COG3245 124833 125240 7
NC_011312 COG0747 128498 130051 13
NC_011312 COG0601 130188 131165 12
NC_011312 COG1173 131168 132109 5
NC_011312 COG1292 132347 133927 18
NC_011312 COG0847 134012 134728 6
NC_011312 COG2905 134738 136618 17
